Series_Title,IMDB_Rating,Runtime,prediction
Belle de jour,7.7,100,0
A Man for All Seasons,7.7,120,1
Repulsion,7.7,105,0
Zulu,7.7,138,1
Goldfinger,7.7,110,0
The Birds,7.7,119,1
Cape Fear,7.7,106,0
Peeping Tom,7.7,101,0
The Magnificent Seven,7.7,128,1
Les yeux sans visage,7.7,90,0
Invasion of the Body Snatchers,7.7,80,0
Rebel Without a Cause,7.7,111,0
The Ladykillers,7.7,91,0
Sabrina,7.7,113,0
The Quiet Man,7.7,129,1
The Day the Earth Stood Still,7.7,92,0
The African Queen,7.7,105,0
Gilda,7.7,110,0
Fantasia,7.7,125,1
The Invisible Man,7.7,71,0
Dark Waters,7.6,126,1
Searching,7.6,102,0
Once Upon a Time... in Hollywood,7.6,161,2
Nelyubov,7.6,127,1
The Florida Project,7.6,111,0
Just Mercy,7.6,137,1
Gifted,7.6,101,0
The Peanut Butter Falcon,7.6,97,0
Victoria,7.6,138,1
Mustang,7.6,97,0
Guardians of the Galaxy Vol. 2,7.6,136,1
Baby Driver,7.6,113,0
Only the Brave,7.6,134,1
Bridge of Spies,7.6,142,1
Incredibles 2,7.6,118,1
Moana,7.6,107,0
Sicario,7.6,121,1
Creed,7.6,133,1
Leviafan,7.6,140,1
Hell or High Water,7.6,102,0
Philomena,7.6,98,0
Dawn of the Planet of the Apes,7.6,130,1
El cuerpo,7.6,112,0
Serbuan maut,7.6,101,0
End of Watch,7.6,109,0
Kari-gurashi no Arietti,7.6,94,0
A Star Is Born,7.6,136,1
True Grit,7.6,110,0
Hævnen,7.6,118,1
Despicable Me,7.6,95,0
50/50,7.6,100,0
Kick-Ass,7.6,117,1
Celda 211,7.6,113,0
Moneyball,7.6,133,1
La piel que habito,7.6,120,1
Zombieland,7.6,88,0
Die Welle,7.6,107,0
Sherlock Holmes,7.6,128,1
The Blind Side,7.6,129,1
The Visitor,7.6,104,0
Seven Pounds,7.6,123,1
Eastern Promises,7.6,100,0
Stardust,7.6,127,1
The Secret of Kells,7.6,71,0
Inside Man,7.6,129,1
Gone Baby Gone,7.6,114,0
La Vie En Rose,7.6,140,1
Huo Yuan Jia,7.6,104,0
The Illusionist,7.6,110,0
Dead Man's Shoes,7.6,90,0
Harry Potter and the Half-Blood Prince,7.6,153,1
300,7.6,117,1
Match Point,7.6,124,1
Watchmen,7.6,162,2
Lord of War,7.6,122,1
Saw,7.6,103,0
"Synecdoche, New York",7.6,124,1
Mysterious Skin,7.6,105,0
Jeux d'enfants,7.6,93,0
Un long dimanche de fiançailles,7.6,133,1
The Station Agent,7.6,89,0
21 Grams,7.6,124,1
Boksuneun naui geot,7.6,129,1
Finding Neverland,7.6,106,0
25th Hour,7.6,135,1
The Butterfly Effect,7.6,113,0
28 Days Later...,7.6,113,0
Batoru rowaiaru,7.6,114,0
The Royal Tenenbaums,7.6,110,0
Y tu mamá también,7.6,106,0
Harry Potter and the Sorcerer's Stone,7.6,152,1
The Others,7.6,101,0
Blow,7.6,124,1
Enemy at the Gates,7.6,131,1
Minority Report,7.6,145,1
The Hurricane,7.6,146,1
American Psycho,7.6,101,0
Lola rennt,7.6,81,0
The Thin Red Line,7.6,170,2
Mulan,7.6,88,0
Fear and Loathing in Las Vegas,7.6,118,1
Funny Games,7.6,108,0
Dark City,7.6,100,0
Sleepers,7.6,147,1
Lost Highway,7.6,134,1
Sense and Sensibility,7.6,136,1
Die Hard: With a Vengeance,7.6,128,1
Dead Man,7.6,121,1
The Bridges of Madison County,7.6,135,1
Apollo 13,7.6,140,1
Trois couleurs: Blanc,7.6,92,0
Falling Down,7.6,113,0
Dazed and Confused,7.6,102,0
My Cousin Vinny,7.6,120,1
Omohide poro poro,7.6,118,1
Delicatessen,7.6,99,0
Home Alone,7.6,103,0
The Godfather: Part III,7.6,162,2
When Harry Met Sally...,7.6,95,0
The Little Mermaid,7.6,83,0
The Naked Gun: From the Files of Police Squad!,7.6,85,0
"Planes, Trains & Automobiles",7.6,93,0
Lethal Weapon,7.6,109,0
Blood Simple,7.6,99,0
On Golden Pond,7.6,109,0
Mad Max 2,7.6,96,0
The Warriors,7.6,92,0
The Muppet Movie,7.6,95,0
Escape from Alcatraz,7.6,112,0
Watership Down,7.6,91,0
Midnight Express,7.6,121,1
Close Encounters of the Third Kind,7.6,138,1
The Long Goodbye,7.6,112,0
Giù la testa,7.6,157,2
Kelly's Heroes,7.6,144,1
The Jungle Book,7.6,78,0
Blowup,7.6,111,0
A Hard Day's Night,7.6,87,0
Breakfast at Tiffany's,7.6,115,0
Giant,7.6,201,2
From Here to Eternity,7.6,118,1
Lifeboat,7.6,97,0
The 39 Steps,7.6,86,0
